"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"JKDPDCFA_00868",27.0031318063512,-0.319145385055662,0.466169685248892,-0.684612052551781,0.493588759491148,0.694803606385382
"JKDPDCFA_00869",7.54350000550034,0.242923692011096,0.838122063406662,0.289842855375624,0.771936460558177,0.87900415786576
"JKDPDCFA_00870",82.4510872155228,-0.47475813874595,0.378204334060225,-1.25529534167197,0.209371565598069,0.412159119699343
"JKDPDCFA_00871",38.4838762433522,-0.398991945084456,0.476086215458402,-0.838066577290595,0.401993312788266,0.613775155623059
"JKDPDCFA_00872",32.9477714745783,-1.06509193717044,0.452830245001717,-2.35207773536946,0.0186688729906212,0.0690500117703331
"JKDPDCFA_00873",27.0889971119513,-0.46343084803083,0.503743280951668,-0.919974251875519,0.357586214652529,0.574962829134414
"JKDPDCFA_00874",8.10142839679711,-0.602218075171948,0.894677948660994,-0.673111566092859,0.500876316200337,0.701058857331271
"JKDPDCFA_00875",2.3450658546867,-0.0864128622139371,1.54138230707653,-0.0560619268932912,0.955292474151292,0.979947708019187
"JKDPDCFA_00876",22.284921146751,-0.613518541054068,0.538905645113116,-1.13845261525381,0.254931534396314,0.467531909667018
"JKDPDCFA_00877",7.90714390867091,-0.272764375615779,0.898387659789978,-0.303615452242014,0.761420877812369,0.87433115490826
"JKDPDCFA_00878",2.44249303901923,-2.46467149076618,1.71685076186024,-1.43557701433272,0.151122739229038,0.330779142508314
"JKDPDCFA_00879",18.1793642824901,-0.267461963273506,0.567346859566382,-0.471425828421655,0.637336675120718,0.803818803139268
"JKDPDCFA_00880",4.15338100103689,-0.803860556482911,1.213546095401,-0.662406281499579,0.507710879101729,0.705890083992632
"JKDPDCFA_00881",69.8359057320524,-0.768281168005667,0.337913729803514,-2.2736015149559,0.0229899562996866,0.0805130777264551
"JKDPDCFA_00882",16.2458450071578,-0.950929219530554,0.751502254445314,-1.265371080267,0.205738337087193,0.407570250052476
"JKDPDCFA_00883",2.19943220512432,-0.956241767834017,1.68120987161001,-0.568781913538418,0.569504150231221,0.75017135167998
"JKDPDCFA_00884",25.6931177440214,-1.34358573198035,0.57500459772232,-2.33665215426537,0.0194572782500121,0.0712295683304538
"JKDPDCFA_00885",5.70206568069703,0.486813247972454,0.943116657569004,0.516175007689158,0.605732183999783,0.781026461758731
"JKDPDCFA_00886",23.7290116924985,-0.463660752423456,0.503331661712332,-0.921183362171345,0.356954703221184,0.574962829134414
"JKDPDCFA_00887",15.7159890075374,0.317520722754486,0.721398760191164,0.44014592244426,0.659831423499972,0.817004776728097
"JKDPDCFA_00888",25.1767477793275,-0.948696652861309,0.515309802312776,-1.84102194175899,0.0656183433425339,0.17862315066178
"JKDPDCFA_00889",22.2162107290342,-0.471982188395444,0.510720547511613,-0.924149597456155,0.355408433429804,0.574962829134414
"JKDPDCFA_00890",66.3392352957381,-0.509746685552527,0.329952511832694,-1.54490924382172,0.122368217223306,0.283188554461328
"JKDPDCFA_00891",103.514606535906,-0.603847907600703,0.416763309562337,-1.44889891635334,0.147365813833946,0.325400350829102
"JKDPDCFA_00892",33.5207567854911,-0.0251744519463802,0.464493768048003,-0.0541976096949024,0.956777725074585,0.980011868684848
"JKDPDCFA_00893",15.5351323604681,-0.601807440592314,0.788511144848402,-0.763219955132044,0.44533222984568,0.650029234815714
"JKDPDCFA_00894",45.9183658774456,-0.436828906633012,0.376101311188135,-1.16146605618851,0.245452419388066,0.456310824679697
"JKDPDCFA_00895",426.663220559893,-0.56234659440657,0.238163288871227,-2.36118083971635,0.0182168448924378,0.0675610664827963
"JKDPDCFA_00896",514.273785143026,-0.161867689374773,0.264741402314788,-0.611418115789481,0.540922812543107,0.730371512511366
"JKDPDCFA_00897",195.592632095216,-0.691717663282923,0.324115346344222,-2.13417127909857,0.0328287628175896,0.104584252029573
"JKDPDCFA_00898",568.610492708977,-0.538918403854108,0.260806644357854,-2.06635227864308,0.038795228441673,0.118612029325945
"JKDPDCFA_00899",1058.18760139612,-0.663624774913182,0.2882853684879,-2.3019717524826,0.0213367652182162,0.0762157776125727
"JKDPDCFA_00900",1054.08480387586,-0.538564417279747,0.584775517849456,-0.920976341930912,0.357062778841316,0.574962829134414
"JKDPDCFA_00901",63.820029218614,-0.36085026585603,0.346496665808678,-1.04142492977199,0.297678377335596,0.510888729848069
"JKDPDCFA_00902",635.298608939749,-0.0506937862832481,0.183640111021595,-0.276049638617823,0.782509940749793,0.882692781422248
"JKDPDCFA_00903",36.7756266465349,-0.201892368423823,0.410260145887719,-0.492108167092295,0.62264287899258,0.794242368312492
"JKDPDCFA_00904",174.522826511752,0.587265501731906,0.274376160647594,2.14036635087326,0.0323251716623151,0.103506687778052
"JKDPDCFA_00905",772.566292863782,-0.797235912965312,0.181831245880193,-4.38448248597826,1.16261835616625e-05,0.000139291692049775
"JKDPDCFA_00906",71.1283539083117,0.340084219076197,0.342265098154494,0.993628099709681,0.320403958736778,0.538112156350769
"JKDPDCFA_00907",87.9592470620504,-0.605427564362064,0.357455893099891,-1.69371263993367,0.0903199014033718,0.227526190255577
"JKDPDCFA_00908",176.893774816138,0.586599625587406,0.242724635799677,2.41672883205614,0.0156606790610543,0.0603203746438188
"JKDPDCFA_00909",43.0297462607639,0.305226447051187,0.36811858107775,0.829152514272895,0.407018111239013,0.619935128067208
"JKDPDCFA_00910",52.8782910527165,-0.117599517929221,0.378271958627673,-0.310886163372665,0.7558871636596,0.873410619151961
"JKDPDCFA_00911",129.172575901927,-0.453162353895989,0.248509386503748,-1.82352208208905,0.0682243557099778,0.184286717041839
"JKDPDCFA_00912",166.906169697993,0.407572249561066,0.291103158888413,1.40009559194546,0.161484694903498,0.344134192373071
"JKDPDCFA_00913",462.052753921732,-0.0169553301698246,0.207745448572978,-0.0816158923639113,0.93495216317853,0.971822422830652
"JKDPDCFA_00914",36.6988756528718,0.167015891624107,0.419888241547293,0.397762726121246,0.690805095289117,0.831223430371912
"JKDPDCFA_00915",142.74861325896,-0.131476646761479,0.263088039607926,-0.499743914460785,0.61725540667277,0.790187903020764
"JKDPDCFA_00916",42.1019154826504,0.757620476349799,0.376003071583756,2.01493161520899,0.0439118148450936,0.130588104955005
"JKDPDCFA_00917",3.4449184330804,-2.03806990307383,1.51984111973971,-1.34097563002038,0.179928365041584,0.370205937604048
"JKDPDCFA_00918",7.56255511782664,-1.14910463786085,0.939896754946517,-1.22258602534088,0.221486093982182,0.42563405934872
"JKDPDCFA_00919",6.62167760102312,-2.43706625669861,1.15869619756678,-2.10328320902094,0.0354410203302342,0.111208414670309
"JKDPDCFA_00920",117.915080397231,-0.573138449441761,0.332219368170369,-1.72518072199765,0.0844949087498612,0.216777921628742
"JKDPDCFA_00921",244.127873705012,0.350951536914422,0.250534101222444,1.40081344296847,0.16126986763585,0.34396912143115
"JKDPDCFA_00922",36.5260346785545,-0.144720303598401,0.40666703066016,-0.35586928048598,0.721938462368901,0.851098827576144
"JKDPDCFA_00923",7.33886266888336,-0.407240290967559,0.909531365564213,-0.447747385506528,0.654335519236586,0.814746961794337
"JKDPDCFA_00924",7.65592907703154,0.442401247051431,0.868116989955615,0.509610170253723,0.610324597326999,0.784353967584935
"JKDPDCFA_00925",5.57529959137595,-0.148522109724075,1.02826237521772,-0.144439895209262,0.885153115272516,0.941072149005021
"JKDPDCFA_00926",148.147484180274,0.331286551360336,0.250234884012547,1.32390235145522,0.185535477182309,0.379559505608254
"JKDPDCFA_00927",46.4123399644062,0.497598180567476,0.406981447032085,1.22265568663195,0.221459770732491,0.42563405934872
"JKDPDCFA_00928",26.9516866225088,0.146196162478889,0.507419930963443,0.288116712722153,0.773257399911451,0.879033194494723
"JKDPDCFA_00929",34.3555925558227,-0.213211992968102,0.446494572951867,-0.477524265431747,0.632988845981799,0.801721836286507
"JKDPDCFA_00930",18.2021122249859,0.457942614577735,0.553419891196156,0.827477692549039,0.407966360745835,0.620015826713436
